                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6112,                 1.9534,                 1.1312,                0.85957,                0.43182,                0.36427,                0.22277,                 1.1436,                 5.1519,                 1.0889,                 0.0701,              0.0033222,              0.0033222
                      1,                 1.6105,                 1.2991,                 1.0769,                 0.8932,                0.44119,                0.42977,                0.25398,                 1.1976,                 4.8435,                 1.0806,               0.039771,              0.0063261,              0.0063261
                      2,                 1.6436,                 1.3485,                 1.0916,                0.76385,                0.50767,                0.54273,                0.34862,                 1.2012,                 4.1773,                 1.0032,              0.0091111,                  0.009,                  0.009
                      3,                 1.6343,                  1.238,                 1.0824,                0.62517,                0.72966,                  0.706,                0.42555,                 1.1964,                  4.102,                0.98192,               0.008515,               0.008515,               0.008515
                      4,                 1.6121,                 1.2024,                 1.0744,                0.80375,                0.79267,                0.80452,                0.52582,                 1.2533,                 3.6669,                 1.0134,               0.008515,               0.008515,               0.008515
                      5,                 1.5578,                 1.1631,                 1.0617,                0.75031,                0.79913,                0.82897,                0.53971,                 1.3122,                 3.4474,                 1.0204,                0.00802,                0.00802,                0.00802
                      6,                 1.4949,                 1.0688,                 1.0348,                0.81126,                0.82354,                0.85076,                0.53953,                 1.2211,                 2.9861,                0.95677,               0.007525,               0.007525,               0.007525
                      7,                 1.5118,                 1.1196,                 1.0452,                0.88683,                0.86922,                0.87658,                0.55164,                 1.3179,                  3.572,                0.98906,                0.00703,                0.00703,                0.00703
                      8,                 1.4453,                0.96695,                 1.0201,                0.91196,                0.84872,                0.88882,                0.58458,                 1.2313,                 3.1663,                0.94906,               0.006535,               0.006535,               0.006535
                      9,                  1.425,                 0.9522,                 1.0164,                0.85313,                0.86609,                0.88995,                0.59799,                 1.1626,                 3.0248,                0.93331,                0.00604,                0.00604,                0.00604
                     10,                  1.392,                0.93184,                 1.0103,                0.91586,                0.85782,                0.90912,                0.64725,                 1.1487,                 2.7645,                0.91801,               0.005545,               0.005545,               0.005545
                     11,                 1.4018,                0.88567,                  1.008,                0.90081,                0.88015,                0.92343,                0.64985,                 1.1071,                 2.4452,                 0.9171,                0.00505,                0.00505,                0.00505
                     12,                 1.3627,                0.86749,                 1.0002,                0.94271,                0.90197,                0.92812,                0.66658,                 1.0643,                 1.8567,                0.90704,               0.004555,               0.004555,               0.004555
                     13,                 1.3532,                0.83473,                0.98551,                0.88838,                0.91172,                0.92393,                0.62803,                 1.1766,                 1.9285,                0.94008,                0.00406,                0.00406,                0.00406
                     14,                 1.3318,                0.82847,                0.98995,                 0.8833,                0.89216,                0.92253,                0.67226,                 1.0584,                 1.8909,                0.91583,               0.003565,               0.003565,               0.003565
                     15,                 1.3124,                0.80563,                0.98156,                0.98533,                0.88992,                0.93199,                0.66898,                 1.1163,                 1.7686,                0.91457,                0.00307,                0.00307,                0.00307
                     16,                 1.3017,                0.79255,                0.98096,                0.92978,                0.90329,                0.93065,                0.67412,                  1.088,                 1.7531,                0.90139,               0.002575,               0.002575,               0.002575
                     17,                 1.2761,                0.76459,                0.96504,                0.94822,                0.90346,                0.93326,                0.68333,                0.99575,                 1.6702,                0.87808,                0.00208,                0.00208,                0.00208
                     18,                 1.2788,                0.76734,                0.96872,                0.92123,                0.91659,                0.93433,                0.69355,                0.95779,                 1.8836,                0.86545,               0.001585,               0.001585,               0.001585
                     19,                 1.2592,                0.74415,                0.96849,                0.98255,                0.91002,                0.93458,                0.69487,                0.96255,                 1.6384,                0.86857,                0.00109,                0.00109,                0.00109
